Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,iso_currency_code,currency,French short name,region_code,Alpha-3 code,Numeric
Singapore,30.71666666666667,31.266666666666666,31.916666666666668,38.18333333333333,46.725,47.9,47.025,48.50833333333333,50.88333333333333,52.95,57.458333333333336,62.15833333333333,64.60000000000001,65.38333333333334,67.075,67.39166666666667,66.46666666666667,66.8,67.83333333333333,69.425,71.83333333333333,74.29166666666667,75.96666666666667,77.7,80.10833333333333,81.48333333333333,82.625,84.26666666666667,84.04166666666667,84.06666666666666,85.20833333333333,86.05,85.73333333333333,86.14999999999999,87.60000000000001,87.95833333333333,88.80833333333334,90.68333333333334,96.675,97.25,99.99166666666667,105.25833333333333,110.05,112.65833333333336,113.80833333333334,113.24166666666667,112.61666666666667,113.25833333333333,113.76666666666668,114.4,114.19166666666666,116.825,123.975,128.13333333333333,sgd,Dollar,Singapour,SG,SGP,702.0
South Africa,1.775,1.9083333333333328,2.0416666666666665,2.2333333333333334,2.475,2.825,3.1166666666666667,3.458333333333333,3.866666666666666,4.375,4.966666666666667,5.733333333333333,6.566666666666666,7.383333333333333,8.225,9.566666666666666,11.35,13.2,14.891666666666666,17.075,19.516666666666666,22.516666666666666,25.633333333333336,28.141666666666666,30.641666666666666,33.300000000000004,35.75,38.825,41.49166666666667,43.64166666666667,45.975,48.583333333333336,53.2,56.225,55.84166666666667,56.99166666666667,58.84166666666667,62.48333333333333,68.76666666666667,73.74166666666666,76.75,80.60000000000001,85.21666666666667,90.13333333333333,95.65833333333336,100.0,106.575,112.09166666666664,117.16666666666669,121.99166666666667,125.90833333333336,131.70833333333334,140.975,146.23333333333332,zar,Rand,Afrique du Sud (l'),ZA,ZAF,710.0
Sweden,13.216666666666669,14.191666666666668,15.05,16.041666666666668,17.641666666666666,19.375,21.35833333333333,23.8,26.166666666666668,28.075,31.9,35.78333333333333,38.85,42.29166666666666,45.7,49.05833333333334,51.15833333333333,53.29166666666666,56.39166666666667,60.025,66.25,72.50833333333334,74.21666666666667,77.72500000000001,79.425,81.35833333333333,81.79166666666667,82.31666666666666,82.10000000000001,82.5,83.24166666666666,85.23333333333333,87.075,88.74166666666667,89.10000000000001,89.49166666666667,90.70833333333331,92.725,95.90833333333336,95.43333333333334,96.54166666666669,99.39166666666668,100.29166666666669,100.225,100.05,100.0,100.98333333333332,102.79166666666669,104.8,106.66666666666669,107.19166666666666,109.525,118.69166666666666,126.06666666666666,sek,Krona,Suède (la),SE,SWE,752.0
Switzerland,34.00833333333333,36.23333333333333,38.63333333333333,42.025,46.13333333333333,49.21666666666667,50.05833333333334,50.71666666666667,51.25833333333333,53.1,55.25,58.84166666666667,62.14166666666667,63.975,65.85000000000001,68.11666666666666,68.63333333333334,69.60833333333333,70.93333333333334,73.15833333333333,77.125,81.64166666666667,84.94166666666666,87.74166666666667,88.47500000000001,90.06666666666666,90.80833333333334,91.275,91.29166666666669,92.04166666666669,93.45833333333331,94.38333333333333,94.99166666666667,95.60833333333332,96.375,97.48333333333332,98.53333333333336,99.25,101.65,101.16666666666669,101.85833333333332,102.09166666666664,101.4,101.175,101.15,100.00833333333333,99.56666666666666,100.08333333333331,101.025,101.4,100.65,101.25833333333333,104.11666666666667,105.86666666666667,chf,Franc,Suisse (la),CH,CHE,756.0
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,twd,Dollar,,TW,,
Thailand,12.775,12.841666666666669,13.466666666666669,15.558333333333332,19.325,20.35833333333333,21.2,22.816666666666663,24.616666666666664,27.058333333333334,32.375,36.49166666666667,38.4,39.825,40.18333333333333,41.15833333333333,41.925,42.975,44.6,46.99166666666667,49.74166666666667,52.59166666666667,54.76666666666667,56.575,59.458333333333336,62.91666666666666,66.55,70.29166666666667,75.91666666666667,76.13333333333334,77.35000000000001,78.6,79.15833333333333,80.58333333333333,82.81666666666668,86.575,90.59166666666664,92.61666666666667,97.69166666666666,96.84166666666664,99.99166666666667,103.79166666666669,106.93333333333334,109.26666666666668,111.35,110.35,110.55,111.3,112.46666666666664,113.26666666666668,112.30833333333334,113.69166666666666,120.60833333333332,122.33333333333331,thb,Baht,Thaïlande (la),TH,THA,764.0
Tunisia,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,95.41734234234234,39.4,41.50833333333333,44.725,47.65,51.55833333333334,54.55,56.73333333333333,59.40833333333333,63.11666666666667,65.46666666666667,67.875,69.96666666666667,71.85833333333333,73.99166666666666,75.45,77.52499999999999,79.60833333333333,82.51666666666667,84.15833333333333,86.88333333333333,89.46666666666665,93.33333333333331,96.76666666666668,100.0,103.225,108.0,113.75,118.99166666666667,124.28333333333336,128.79166666666666,135.63333333333333,145.54999999999998,155.32500000000002,164.09166666666667,173.4333333333333,187.85,198.0,tnd,Dinar,Tunisie (la),TN,TUN,788.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333333333333333,0.1,0.125,0.225,0.4666666666666666,0.8916666666666666,1.625,3.0,5.533333333333334,9.116666666666667,14.1,21.766666666666666,31.558333333333334,38.375,41.66666666666666,45.083333333333336,49.41666666666666,53.725,59.35,63.05,68.46666666666667,72.89166666666667,79.36666666666666,85.33333333333333,92.86666666666667,99.99166666666667,107.775,119.8,139.35833333333332,160.50833333333333,180.2,215.525,371.35833333333335,475.1666666666667,try,New Lira,,TR,,
United Arab Emirates,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,106.31848958333332,86.90000000000002,97.6,99.14166666666668,99.98333333333332,100.86666666666667,101.54166666666669,102.66666666666669,105.075,109.34166666666664,111.10833333333332,113.29166666666669,116.79166666666669,114.50833333333333,112.13333333333333,111.7125,118.43333333333334,106.31848958333332,aed,Dirham,,AE,,
United Kingdom,8.408333333333333,9.2,9.858333333333333,10.758333333333333,12.491666666666667,15.516666666666666,18.08333333333333,20.95,22.666666666666668,25.725,30.33333333333333,33.93333333333333,36.88333333333333,38.56666666666667,40.48333333333333,42.925,44.41666666666666,46.25833333333333,48.175,50.95,55.05833333333334,59.16666666666666,61.88333333333333,63.46666666666667,64.875,66.625,68.52499999999999,70.03333333333333,71.30833333333334,72.55833333333334,73.41666666666667,74.54166666666667,75.675,76.71666666666667,77.78333333333333,79.40833333333333,81.35833333333333,83.3,86.23333333333333,87.925,90.11666666666667,93.59166666666664,96.0,98.2,99.625,99.99166666666667,101.0,103.58333333333331,105.95833333333331,107.8,108.86666666666667,111.60833333333332,120.45,125.86666666666667,gbp,Pound,,GB,,
